#
#Results from query to  NASA/IPAC Extragalactic Database (NED),
#which is operated by the Jet Propulsion Laboratory, California Institute of
#Technology, under contract with the National Aeronautics and Space Administration.
#This work was (partially) supported by the US National Virtual Observatory
#development project, which is funded by the National Science Foundation
#under cooperative agreement AST0122449 with The Johns Hopkins University.
#
#
#queryDateTime:2017-10-19T10:56:56PDT
#
#
#
#Main Information Table for NED objects within 20.000 arcmin of object NGC 4889
#
#
#
#Equinox:J2000.0
#
#
#
#CoordSystem:Equatorial
#
#No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
401	SDSS J125951.78+281511.8	194.96579 	  28.25329 	G	  8694	 0.029000 	    	20.16	 16.964	6	0	17	2	0	4	0
402	SDSS J130117.84+280549.4	195.32435 	  28.09707 	G	  8030	 0.026785 	    	18.66	 16.987	16	0	21	6	2	4	0
403	SDSS J125909.90+280952.1	194.79125 	  28.16447 	G	  8574	 0.028600 	    	18.88	 17.074	18	0	9	4	2	0	0
404	SDSS J125850.76+275944.1	194.71156 	  27.99559 	G	  6715	 0.022399 	    	18.66	 17.114	12	0	16	3	1	0	0
405	SDSS J125850.76+275943.9	194.71151 	  27.99555 	G	  6711	 0.022384 	    	18.0g	 17.116	5	0	15	3	2	4	0
406	SDSS J125915.36+274605.2	194.81405 	  27.76808 	G	  6315	 0.021065 	    	19.99	 17.120	9	1	27	1	0	4	0
407	IC 3963	194.80624 	  27.77460 	G	  6849	 0.022846 	    	15.3g	 17.124	94	1	63	19	15	10	0
408	SSTSL2 J125915.27+274604.1	194.81370 	  27.76779 	G	  6326	 0.021100 	    	21.2g	 17.145	1	0	10	1	1	0	0
409	SDSS J125850.81+280025.1	194.71176 	  28.00700 	G	  7471	 0.024920 	    	18.3g	 17.161	24	0	33	4	4	4	0
410	2MASX J12592491+2744198	194.85388 	  27.73885 	G	  6062	 0.020221 	    	15.9g	 17.186	62	0	43	11	11	6	0
411	SDSS J130119.31+275137.6	195.33048 	  27.86048 	G	  8209	 0.027382 	    	17.28	 17.209	25	0	33	7	1	4	0
412	LDCE 0926	194.72417 	  27.88972 	GGroup	  6842	 0.022822 	    	     	 17.232	1	0	0	0	1	0	0
413	CGCG 160-093	195.29459 	  27.80291 	G	  6708	 0.022375 	    	15.7 	 17.328	56	0	33	17	11	8	0
414	SDSS J125932.07+274313.6	194.88362 	  27.72047 	G	  7637	 0.025474 	    	18.89	 17.333	16	0	6	5	3	0	0
415	2MASX J13012713+2759566	195.36311 	  27.99920 	G	  7652	 0.025524 	    	16.4g	 17.495	41	0	37	8	8	6	0
416	2MASX J13000626+2741072	195.02606 	  27.68531 	G	  7537	 0.025141 	    	16.1g	 17.506	36	0	45	6	9	6	0
417	SDSS J125944.56+281523.4	194.93567 	  28.25653 	G	  7861	 0.026222 	    	18.5g	 17.558	13	0	2	3	3	0	0
418	SDSS J130123.95+275316.6	195.34983 	  27.88796 	G	  5861	 0.019550 	PHOT	21.0g	 17.580	1	0	25	1	1	4	0
419	SDSS J130032.46+281521.7	195.13528 	  28.25607 	G	  6279	 0.020944 	    	18.38	 17.583	17	0	21	7	3	4	0
420	IC 3959	194.78417 	  27.78413 	G	  7088	 0.023643 	    	14.8g	 17.587	149	1	59	14	20	10	0
421	SDSS J125848.14+280107.3	194.70063 	  28.01872 	G	  7075	 0.023600 	    	18.60	 17.831	24	0	18	5	3	0	0
422	[ALB2009] J194.7610+28.15490  	194.76100 	  28.15490 	GTrpl	  8484	 0.028300 	    	     	 17.963	1	0	0	0	0	0	0
423	2MASX J13012843+2755357	195.36860 	  27.92657 	G	  7491	 0.024987 	    	17.6g	 17.997	20	0	30	7	3	6	0
424	NGC 4921	195.35896 	  27.88594 	G	  5482	 0.018286 	    	13.1g	 18.078	186	5	85	24	24	11	0
425	2MASX J13011908+2807411	195.32942 	  28.12814 	G	  6834	 0.022796 	    	17.29	 18.087	21	0	30	7	3	6	0
426	IC 3949	194.73337 	  27.83336 	G	  7571	 0.025254 	    	14.7g	 18.115	150	8	98	21	19	10	2
427	ABELL 1656:[ABD2005] G08	194.77881 	  27.77548 	GGroup	  6773	 0.022592 	    	     	 18.144	2	0	0	0	0	0	0
428	2MASX J12585077+2805019	194.71152 	  28.08402 	G	  6103	 0.020357 	    	16.1g	 18.240	56	1	44	8	13	7	0
429	2MASX J12590685+2746209	194.77853 	  27.77247 	G	  6259	 0.020878 	    	17.5g	 18.276	23	0	41	5	5	6	0
430	2MASX J12585660+2749189	194.73587 	  27.82199 	G	  8535	 0.028470 	    	17.4g	 18.336	34	0	51	7	7	6	0
431	NGC 4919	195.32330 	  27.80909 	G	  7334	 0.024464 	    	14.6g	 18.359	96	2	53	15	15	11	0
432	IC 3957	194.78122 	  27.76778 	G	  6336	 0.021135 	    	15.80	 18.362	125	2	60	12	14	10	0
433	2MASX J12585341+2807339	194.72267 	  28.12607 	G	  7000	 0.023349 	    	15.9g	 18.750	37	0	35	9	6	6	0
434	SDSS J125842.30+275819.7	194.67625 	  27.97216 	G	  6326	 0.021100 	    	19.81	 18.952	7	0	17	2	0	4	0
435	SDSS J125856.37+274812.8	194.73490 	  27.80356 	G	  7864	 0.026231 	    	18.6g	 18.965	15	0	28	3	0	4	0
436	SDSS J125844.15+280256.2	194.68396 	  28.04897 	G	  8868	 0.029581 	    	18.2g	 19.032	18	0	9	3	3	0	0
437	SDSS J125918.35+274256.6	194.82648 	  27.71575 	G	  6681	 0.022285 	    	17.6g	 19.151	26	0	23	6	5	4	0
438	SDSS J125845.45+275247.8	194.68938 	  27.87994 	G	  8415	 0.028069 	    	19.01	 19.169	17	0	3	4	3	0	0
439	2MASX J12585306+2748479	194.72106 	  27.81342 	G	  5496	 0.018333 	    	16.4g	 19.274	46	0	42	8	8	6	0
440	SDSS J130133.84+275439.9	195.39100 	  27.91110 	G	  6591	 0.021985 	    	17.38	 19.338	23	0	2	4	2	0	0
441	2MASX J12585766+2747079	194.74011 	  27.78544 	G	  6894	 0.022996 	    	16.4g	 19.361	60	1	45	9	5	6	0
442	SDSS J125846.11+275139.0	194.69217 	  27.86086 	G	  8805	 0.029370 	    	18.2g	 19.410	18	0	11	4	3	0	0
443	SDSS J125843.45+275306.9	194.68107 	  27.88526 	G	  8124	 0.027100 	    	20.3g	 19.496	5	0	17	2	0	4	0
444	2MASX J12585464+2747439	194.72764 	  27.79561 	G	  6471	 0.021584 	    	17.2g	 19.550	31	0	35	7	6	6	0
445	SDSS J125841.48+280243.3	194.67285 	  28.04537 	G	  5666	 0.018900 	    	19.8g	 19.559	7	0	17	2	0	4	0
446	SDSS J130051.30+274121.0	195.21378 	  27.68917 	G	  8184	 0.027300 	    	19.37	 19.732	9	0	24	3	0	4	0
447	2MASX J12583899+2757136	194.66225 	  27.95386 	G	  6009	 0.020044 	    	17.2g	 19.743	32	0	27	7	5	2	0
448	SDSS J125852.93+274757.2	194.72055 	  27.79924 	G	  8964	 0.029900 	    	20.42	 19.745	8	0	17	2	0	4	0
449	SDSS J130111.22+274433.0	195.29676 	  27.74252 	G	  7383	 0.024627 	    	19.13	 19.809	16	0	15	3	1	4	0
450	SDSS J130137.32+280056.7	195.40553 	  28.01577 	G	  7179	 0.023947 	    	18.66	 19.827	16	0	21	7	3	4	0
451	2MASX J12594132+2739347	194.92216 	  27.65984 	G	  6790	 0.022649 	    	16.2g	 19.931	37	0	37	9	8	6	0
